#      Name and Version    Yburn 4.0
#         Job specifier    CalcBoundWave
#        Job started at    2013-06-19-16-20-29
#            ColorState    Singlet
#         PotentialType    Complex
#              AccAlpha    1e-06
#               AccWave    1e-09
#            Emax (MeV)    1e+04
#                ESteps    1000
#       QuarkMass (MeV)    4801
#             Rout (fm)    10
#                rSteps    20000
#              AlphaS_H    0.2417
#               dr (fm)    0.001
#         Sigma (MeV^2)    1.92e+05
#      SigmaEff (MeV^2)    1.92e+05
#              Tc (MeV)    170
#
#
#   Y1S	M = 9460.30 MeV
#---------------------------------------------------------------------------------------------------------------------------
#   T          DebyeMass  <r^2>^1/2  SoftScale  US_Scale   BoundMass  Energy     GammaDamp  GammaDiss  GammaTot
#   (MeV)      (MeV)      (fm)       (Mev)      (Mev)      (MeV)      (MeV)      (MeV)      (MeV)      (MeV)
#---------------------------------------------------------------------------------------------------------------------------
# pNRQCDHTL potential
#   (MeV)      (MeV)      (fm)       (Mev)      (Mev)      (MeV)      (MeV)      (MeV)      (MeV)      (MeV)
#---------------------------------------------------------------------------------------------------------------------------
	170        523.975    0.710422   426.747    449.144    8862.02    -63.4477   343.634    115.549    459.183
	180        543.693    0.712634   423.397    443.03     8802.64    -51.7507   381.608    127.626    509.235
	190        563.435    0.714617   420.228    439.404    8742.7     -40.4093   421.388    138.457    559.845
	200        583.179    0.716378   417.23     438.273    8682.29    -29.3603   462.903    147.718    610.621
	210        602.909    0.717933   414.393    439.623    8621.45    -18.5499   506.088    155.203    661.291
	220        622.613    0.719298   411.707    443.415    8560.23    -7.93449   550.885    160.853    711.738


#   x3P	M = 10534 MeV
#---------------------------------------------------------------------------------------------------------------------------
#   T          DebyeMass  <r^2>^1/2  SoftScale  US_Scale   BoundMass  Energy     GammaDamp  GammaDiss  GammaTot
#   (MeV)      (MeV)      (fm)       (Mev)      (Mev)      (MeV)      (MeV)      (MeV)      (MeV)      (MeV)
#---------------------------------------------------------------------------------------------------------------------------
	170        523.975    0.79348    353.132    546.879    8207.29    -8.87933   633.336    114.209    747.545
